city	region	latitude	longitude
Porto Torres	Sardinia	40.8338	8.4053
Commezzadura	Trentino-Alto Adige	46.3217	10.8396
Algund	Trentino-Alto Adige	46.6811	11.1257
Imperia	Liguria	43.8892	8.0393
Noto	Sicily	36.8924	15.0698
Senigallia	Marche	43.7163	13.2088
Lallio	Lombardy	45.6628	9.6289
Cercemaggiore	Molise	41.4613	14.724
Chieti	Abruzzo	42.3483	14.1649
Santa Maria Maggiore	Piedmont	46.1368	8.4611
Agnone	Molise	41.8104	14.3752
Selva di Val Gardena	Trentino-Alto Adige		
Chiusi	Tuscany	43.0142	11.9479
Stradella	Lombardy	45.1724	10.8733
Stradella	Lombardy	45.0744	9.3017
Fossombrone	Marche	43.6902	12.8117
Urbino	Marche	43.7262	12.6363
Barco	Emilia-Romagna	44.6883	10.4958
Barco	Emilia-Romagna	45.8189	12.6717
Barco	Emilia-Romagna	46.004	11.3384
Céres	Piedmont		
Vieste	Apulia	41.8821	16.1714
Castellina in Chianti	Tuscany		
Grinzane Cavour	Piedmont	44.6533	7.995
Brixen	Trentino-Alto Adige	46.715	11.656
Maglie	Apulia	40.1207	18.298
Serralunga d'Alba	Piedmont		
San Leone	Sicily	39.1555	8.9852
Fiumicino	Lazio	41.7709	12.2366
Cureggio	Piedmont	45.6749	8.4597
Monte Sant'Angelo	Apulia	41.5117	15.1161
Vicopisano	Tuscany	43.6931	10.5836
Merano	Trentino-Alto Adige	46.6682	11.1595
Montalcino	Tuscany	43.054	11.4885
Toblach	Trentino-Alto Adige	46.7288	12.2222
Sorni	Trentino-Alto Adige		
Limito	Lombardy	45.4824	9.3289
Sorico	Lombardy	46.1726	9.384
Gussago	Lombardy	45.5836	10.1572
Linguaglossa	Sicily	37.8424	15.1377
Savelletri	Apulia	40.8746	17.4087
Montemonaco	Marche	42.8987	13.3302
Legnano	Lombardy	45.5979	8.9151
Follina	Veneto	45.9535	12.1198
Valledoria	Sardinia	40.9287	8.8232
San Felice del Benaco	Lombardy		
Forno di Zoldo	Veneto		
Coloreto	Emilia-Romagna		
Tregnago	Veneto	45.514	11.1642
Bianzone	Lombardy	46.1867	10.1093
Acqualagna	Marche	43.6261	12.676
Colle di Val d'Elsa	Tuscany		
Altissimo	Veneto	45.6143	11.2519
Aprica	Lombardy	46.1522	10.1488
Pergine Valsugana	Trentino-Alto Adige	46.0643	11.2376
Garda	Veneto	45.5789	10.7176
Torrita di Siena	Tuscany		
Marne	Lombardy		
Cortona	Tuscany	43.2747	11.9853
Montegridolfo	Marche	43.8583	12.69
Fiesole	Tuscany	43.8045	11.2949
Aversa	Campania	40.9726	14.2074
Livigno	Lombardy	46.5363	10.1335
San Martino di Castrozza	Trentino-Alto Adige		
Manfredonia	Apulia	41.6307	15.9188
Isola Sant'Antonio	Piedmont	45.0302	8.8493
Piadena	Lombardy	45.1286	10.371
Termoli	Molise	41.9999	14.9939
Madesimo	Lombardy	46.4381	9.3588
Fasano del Garda	Lombardy		
Cetona	Tuscany	42.9666	11.9027
Quarona	Piedmont	45.7604	8.2675
Montemagno	Piedmont	44.9831	8.3253
Montemagno	Piedmont	43.9096	10.3398
Montemagno	Piedmont	43.7195	10.5354
Montemagno	Piedmont	43.8465	10.9395
Riposto	Sicily	37.7318	15.2058
Settequerce	Trentino-Alto Adige	46.5111	11.2648
Forlì	Emilia-Romagna	44.2218	12.0414
Cassinetta di Lugagnano	Lombardy		
Vigano	Lombardy	45.382	9.0293
Frascati	Lazio	41.8091	12.6794
Manerba del Garda	Lombardy		
Boves	Piedmont	44.3298	7.5473
Dogliani	Piedmont	44.5333	7.9451
Dolegna del Collio	Friuli Venezia Giulia		
Torbole	Trentino-Alto Adige	45.8759	10.8911
Ariano Irpino	Campania	41.1602	15.1063
Giulianova Lido	Abruzzo		
Ponte dell'Olio	Emilia-Romagna		
Viareggio	Tuscany	43.8669	10.2502
Fagagna	Friuli Venezia Giulia	46.107	13.0936
Marciana Marina	Tuscany	42.8026	10.1949
Pfalzen	Trentino-Alto Adige	46.8136	11.8831
Monticelli d'Ongina	Emilia-Romagna		
Montecarlo	Tuscany	43.8522	10.6674
Padenghe sul Garda	Lombardy		
Roccaraso	Abruzzo	41.8487	14.0785
Miane	Veneto	45.9434	12.0925
Milazzo	Sicily	38.2201	15.2402
San Vigilio di Marebbe	Trentino-Alto Adige		
Isola Vulcano	Sicily		
Latina	Lazio	41.4661	12.9043
Marina di San Vito	Abruzzo		
La Spezia	Liguria	44.103	9.8238
Moncalieri	Piedmont	44.9994	7.6824
Asiago	Veneto	45.8759	11.5122
Courmayeur	Aosta Valley	45.7966	6.9689
Tavagnacco	Friuli Venezia Giulia	46.1098	13.2225
Palazzolo Acreide	Sicily	37.0626	14.9059
Marotta	Marche	43.7989	13.0945
Rubbianino	Emilia-Romagna		
Marina di Cecina	Tuscany		
Fondi	Lazio	41.3579	13.4272
Barcuzzi	Lombardy		
Bobbio	Emilia-Romagna	44.7683	9.3841
Isola d'Asti	Piedmont		
Roletto	Piedmont	44.9244	7.3323
San Giovanni in Persiceto	Emilia-Romagna		
Montoggio	Liguria	44.517	9.0492
Piobesi d'Alba	Piedmont		
Mariano del Friuli	Friuli Venezia Giulia		
Gsies	Trentino-Alto Adige		
Origgio	Lombardy	45.5968	9.0164
Monticelli Brusati	Lombardy	45.6348	10.1003
Loro Ciuffenna	Tuscany	43.5883	11.6288
Pollone	Piedmont	45.5798	8.0059
Pitigliano	Tuscany	42.6358	11.6746
Orbetello	Tuscany	42.4416	11.2214
Pordenone	Friuli Venezia Giulia	45.9569	12.6605
Marina di Massa	Tuscany		
Terranova di Pollino	Basilicata		
Portoscuso	Sardinia	39.2074	8.3809
Issengo	Trentino-Alto Adige		
Pinerolo	Piedmont	44.8853	7.3314
Vercelli	Piedmont	45.3216	8.4199
Oviglio	Piedmont	44.8612	8.4877
Recco	Liguria	44.3623	9.1435
Pietrasanta	Tuscany	43.9595	10.2278
Cremona	Lombardy	45.1332	10.0213
Mergozzo	Piedmont	45.9623	8.454
Rivodutri	Lazio	42.5168	12.856
Negrar	Veneto	45.5292	10.939
Salò	Lombardy		
Finale Ligure	Liguria	44.1695	8.3436
Pacentro	Abruzzo	42.0504	13.9915
Velo Veronese	Veneto	45.6067	11.0952
Galliera Veneta	Veneto	45.6675	11.8222
Vedole	Emilia-Romagna		
Madonna di Campiglio	Trentino-Alto Adige		
San Vincenzo	Tuscany	44.7388	11.4367
San Vincenzo	Tuscany	43.0906	10.5425
Sant'Anna	Tuscany	38.9343	17.0573
Sant'Anna	Tuscany	38.4964	16.1103
Sant'Anna	Tuscany	40.7328	14.7116
Sant'Anna	Tuscany	44.3533	9.2181
Sant'Anna	Tuscany	45.5352	10.0025
Sant'Anna	Tuscany	46.1735	9.8555
Sant'Anna	Tuscany	44.3715	7.4135
Sant'Anna	Tuscany	46.0899	8.3424
Sant'Anna	Tuscany	39.8136	8.6489
Sant'Anna	Tuscany	37.5595	13.2347
Sant'Anna	Tuscany	45.1661	12.2736
Casaglia	Emilia-Romagna	44.4308	11.3476
Casaglia	Emilia-Romagna	44.0378	11.5178
Barbian	Trentino-Alto Adige	46.6304	11.4693
Ruvo di Puglia	Apulia		
Revine	Veneto	45.9994	12.2556
Montemerano	Tuscany	42.6226	11.4903
Ostuni	Apulia	40.7291	17.5768
Lavello	Basilicata	41.0477	15.7891
Rablà	Trentino-Alto Adige		
Orvieto	Umbria	42.7192	12.1125
Moltrasio	Lombardy	45.86	9.0984
Dovera	Lombardy	45.3643	9.5445
Garbagnate Milanese	Lombardy	45.5744	9.0754
San Polo di Piave	Veneto		
Fidenza	Emilia-Romagna	44.8669	10.0604
Seregno	Lombardy	45.65	9.2055
Sclafani Bagni	Sicily	37.8217	13.8548
Gaibana	Emilia-Romagna		
Mutignano	Abruzzo	42.5879	14.0347
Loano	Liguria	44.1278	8.2574
Pineto	Abruzzo	42.6088	14.0664
Riva di Solto	Lombardy		
Ardenza	Tuscany	43.5167	10.3167
Trani	Apulia	41.2773	16.4101
Valsolda	Lombardy	46.0522	9.2108
Malfa	Sicily	38.5773	14.836
Quarto	Campania	40.8782	14.1435
Quarto	Campania	43.8917	12.0867
