city	region	latitude	longitude
Panzano	Tuscany	43.5442	11.3144
Giulianova	Abruzzo	42.7538	13.9665
Cusago	Lombardy	45.45	9.0374
Chiavari	Liguria	44.3177	9.3224
Follonica	Tuscany	42.9278	10.7645
Sorisole	Lombardy	45.7314	9.6371
Lignano Sabbiadoro	Friuli Venezia Giulia	45.6759	13.1173
Lancenigo	Veneto	45.7136	12.2736
Ponte a Moriano	Tuscany		
Rivergaro	Emilia-Romagna	44.915	9.6044
Venaria Reale	Piedmont	45.126	7.6314
Viceno	Lazio		
Trecchina	Basilicata	40.0261	15.7758
Illasi	Veneto	45.4666	11.1817
Peschici	Apulia	41.8271	15.5343
Capannori	Tuscany	43.8417	10.5727
Sirmione	Lombardy	45.4974	10.6051
Moirago	Lombardy	45.3696	9.137
Olbia	Sardinia	40.9234	9.498
Longiano	Emilia-Romagna	44.0745	12.3297
Albairate	Lombardy	45.4196	8.9374
Saint Lorenzen	Trentino-Alto Adige		
Pedraces	Trentino-Alto Adige	46.6	11.8833
Appignano	Marche	42.5454	13.8497
Appignano	Marche	43.3628	13.3477
Passignano	Umbria		
San Remo	Liguria	43.8173	7.7772
Lama Mocogno	Emilia-Romagna	44.2996	10.709
Montaldo Scarampi	Piedmont	44.8303	8.259
Somma Vesuviana	Campania	40.8733	14.4387
Crotone	Calabria	39.0808	17.1276
Rivisondoli	Abruzzo	41.8702	14.0667
Saturnia	Tuscany	42.6667	11.5069
Foiana	Trentino-Alto Adige		
Monterosso al Mare	Liguria		
Menfi	Sicily	37.6041	12.9689
Pagazzano	Lombardy	45.5343	9.6712
Limone sul Garda	Lombardy		
Alserio	Lombardy	45.7789	9.2001
Augusta	Sicily	37.2407	15.2212
Sizzano	Piedmont	45.5766	8.4361
Pescocostanzo	Abruzzo	41.8872	14.0661
Pontelongo	Veneto	45.2459	12.0258
Montepulciano	Tuscany	43.1	11.787
Ruda	Friuli Venezia Giulia	45.8399	13.4018
Gardone Riviera	Lombardy	45.624	10.5668
San Giustino Valdarno	Tuscany	43.5527	11.705
Ospedaletto d'Alpinolo	Campania		
Seggiano	Tuscany	45.4882	9.3224
Seggiano	Tuscany	42.929	11.5574
Grottaferrata	Lazio	41.7866	12.6714
Ticciano	Campania		
Treia	Marche	43.3085	13.3104
Valdieri	Piedmont	44.2776	7.3976
Rapallo	Liguria	44.3496	9.228
Pallanza	Piedmont		
San Michele	Piedmont	38.9609	16.4174
San Michele	Piedmont	40.6202	14.5502
San Michele	Piedmont	44.04	12.4277
San Michele	Piedmont	45.7833	10.7
San Michele	Piedmont	45.6959	9.0586
San Michele	Piedmont	43.3094	12.9583
San Michele	Piedmont	44.9284	8.5798
San Michele	Piedmont	38.0385	14.9435
San Michele	Piedmont	44.1846	10.2969
San Michele	Piedmont	43.9678	10.849
San Michele	Piedmont	46.4547	11.2618
Imola	Emilia-Romagna	44.3592	11.7132
Olevano Romano	Lazio	41.8587	13.036
Spoltore	Abruzzo	42.455	14.1399
Greve in Chianti	Tuscany		
Mortara	Lombardy	45.2494	8.733
Lonigo	Veneto	45.3858	11.384
Roncade	Veneto	45.6217	12.3764
Vittorio Veneto	Veneto	45.9803	12.3006
Squille	Campania	41.1553	14.4327
Castel di Sangro	Abruzzo		
Formello	Lazio	42.0625	12.3944
Terrasini	Sicily	38.1462	13.0832
Brescia	Lombardy	45.5356	10.2147
Caltanissetta	Sicily	37.4903	14.0622
Villar Dora	Piedmont	45.1146	7.3835
Contigliano	Lazio	42.4106	12.772
Noci	Apulia	40.7936	17.1268
Lodi	Lombardy	45.3099	9.5009
Arco	Trentino-Alto Adige	45.9177	10.8867
Iseo	Lombardy	45.6588	10.0502
Nettuno	Lazio	41.4579	12.6639
Monterotondo	Lazio	42.0516	12.6197
Monterotondo	Lazio	45.6091	10.0435
Amalfi	Campania	40.6349	14.6024
Lucera	Apulia	41.5055	15.3391
Breuil Cervinia	Aosta Valley	45.9336	7.6326
Peschiera del Garda	Veneto		
Cerreto Guidi	Tuscany	43.7585	10.8819
Vicenza	Veneto	45.5467	11.5475
Schio	Veneto	45.7126	11.3567
Cerretto Langhe	Piedmont		
Capri	Campania	40.5507	14.2426
Mandello del Lario	Lombardy		
Corvara in Badia	Trentino-Alto Adige		
Montù Beccaria	Lombardy		
Montallegro	Sicily	37.3912	13.3518
Voghera	Lombardy	44.9915	9.0117
Treviglio	Lombardy	45.5208	9.591
Lenna	Lombardy	45.9427	9.6788
Mestre	Veneto	45.4917	12.2454
Fondo	Trentino-Alto Adige	46.4388	11.1372
Brennero	Trentino-Alto Adige	47.0057	11.5063
Grottammare	Marche	42.9818	13.8676
Casteggio	Lombardy	45.014	9.1253
Pozzolo Formigaro	Piedmont	44.7993	8.7836
Sutri	Lazio	42.246	12.2172
Montopoli in Val d'Arno	Tuscany		
Riola Sardo	Sardinia	39.9936	8.5413
San Marzano di San Giuseppe	Apulia		
Marina di Ragusa	Sicily		
Rivarolo Canavese	Piedmont	45.3283	7.7211
Peschiera Borromeo	Lombardy	45.4367	9.3302
Carpi	Emilia-Romagna	44.7824	10.8777
Torriana	Emilia-Romagna	43.9849	12.3854
Pennabilli	Emilia-Romagna	43.8175	12.2671
Ponte di Legno	Lombardy		
Misano Adriatico	Emilia-Romagna	43.9771	12.698
Panicale	Umbria	43.0283	12.0999
Sarre	Aosta Valley	45.7459	7.2362
Trebaseleghe	Veneto	45.5929	12.0439
Esine	Lombardy	45.9251	10.251
Ravello	Campania	40.6493	14.6117
Rho	Lombardy	45.5324	9.0402
Terni	Umbria	42.5633	12.6433
Cortina d'Ampezzo	Veneto		
Rubiera	Emilia-Romagna	44.6516	10.7794
Palazzo San Gervasio	Basilicata	40.9316	15.9815
Ischia	Campania	40.7379	13.9486
Ischia	Campania	43.0013	13.72
Malo	Veneto	45.6591	11.416
San Quirino	Friuli Venezia Giulia	46.0341	12.6785
Grazie	Lombardy	45.1539	10.6945
Grazie	Lombardy	44.002	10.8782
Monsummano Terme	Tuscany	43.8672	10.813
Magliano Alfieri	Piedmont	44.7692	8.0701
Sestri Ponente	Liguria	44.4261	8.8485
Poggiridenti	Lombardy	46.1748	9.9261
Badia	Trentino-Alto Adige	38.563	15.9541
Badia	Trentino-Alto Adige	46.6082	11.8963
Porto San Giorgio	Marche	43.1778	13.7941
Macerata	Marche	43.2979	13.4529
Colle	Tuscany	46.1631	12.8086
Andora	Liguria	43.9551	8.1412
Pozzuoli	Campania	40.8322	14.1045
Oggiono	Lombardy	45.7913	9.3482
Giarre	Sicily	37.7244	15.1816
Cefalu	Sicily		
Chieri	Piedmont	45.0105	7.8213
Tropea	Calabria	38.6745	15.895
Porto Rotondo	Sardinia	41.0275	9.5405
Porto San Paolo	Sardinia	40.8754	9.6271
Este	Veneto	45.2234	11.6638
Lido di Savio	Emilia-Romagna		
Roseto degli Abruzzi	Abruzzo		
Rovato	Lombardy	45.5634	10.0021
Pollenzo	Piedmont	44.6866	7.8952
Oppeano	Veneto	45.3033	11.1801
Glorenza	Trentino-Alto Adige	46.671	10.5568
Chies d'Alpago	Veneto		
Castagnito d'Alba	Piedmont		
San Casciano in Val di Pesa	Tuscany		
Brusciano	Campania	40.9224	14.4239
Corciano	Umbria	43.1282	12.2868
Puegnago sul Garda	Lombardy		
Cernobbio	Lombardy	45.8431	9.0719
Casale Monferrato	Piedmont	45.1334	8.4525
Bassano del Grappa	Veneto		
Teramo	Abruzzo	42.6612	13.699
Arezzo	Tuscany	43.4628	11.8807
Rivanazzano Terme	Lombardy		
Mira	Veneto	45.4346	12.1294
Coriano	Emilia-Romagna	43.9691	12.6005
Buttrio	Friuli Venezia Giulia	46.011	13.3335
Deruta	Umbria	42.9847	12.4176
Carrara	Tuscany	41.5405	12.9547
Carrara	Tuscany	44.0793	10.0979
Cima	Trentino-Alto Adige	46.0251	9.0912
Cavour	Piedmont	44.7929	7.3744
Saludecio	Emilia-Romagna	43.8754	12.6612
Santa Maria di Castellabate	Campania		
Rapolano Terme	Tuscany	43.295	11.6026
Montecalvo Versiggia	Lombardy	44.9721	9.2854
Montoro	Campania	40.8221	14.7848
Montoro	Campania	43.4552	13.4136
Montoro	Campania	42.5071	12.467
Baronissi	Campania	40.7482	14.7738
Varallo	Piedmont	45.8138	8.2581
Varenna	Lombardy	46.0108	9.2846
Castel San Pietro Terme	Emilia-Romagna	44.3985	11.5855
Passignano sul Trasimeno	Umbria		
San Giorgio del Sannio	Campania		
Nibbiaia	Tuscany	43.464	10.4162
Romeno	Trentino-Alto Adige	46.3945	11.1192
Robbiate	Lombardy	45.6883	9.4371
Bacoli	Campania	40.7967	14.0735
Soprabolzano	Trentino-Alto Adige	46.529	11.4041
Piombino	Tuscany	42.9255	10.5259
Assisi	Umbria	43.0667	12.6211
Canazei	Trentino-Alto Adige	46.4763	11.7693
Apricena	Apulia	41.7863	15.4439
Pieve di Coriano	Lombardy		
Senorbì	Sardinia		
Nova Levante	Trentino-Alto Adige	46.429	11.5394
Treiso	Piedmont	44.6897	8.0881
Otranto	Apulia	40.1479	18.4868
Caiolo	Lombardy	46.15	9.8145
Gaione	Emilia-Romagna	44.7583	10.2903
Ponte	Campania	41.2155	14.6983
Ponte	Campania	40.19	15.2371
Lavariano	Friuli Venezia Giulia	45.956	13.2283
Rivoli	Piedmont	45.0707	7.5146
Crevalcore	Emilia-Romagna	44.7197	11.1477
Marina di Gioiosa Ionica	Calabria		
Albiate	Lombardy	45.6554	9.2504
Rodengo Saiano	Lombardy	45.8766	10.2262
Cala Gonone	Sardinia	40.2809	9.6297
